clip_id,n_horse_detections,type,d_meters,mpp,takeoff_frame,frac,takeoff_gap
2S-4eXbehr4_10020000,16,,,,18,0.6,0
2S-4eXbehr4_10050000,16,,,,28,0.9333333333333333,0
2S-4eXbehr4_10110000,15,oxer,1.0332412399517046,0.01804123711340206,17,0.5666666666666667,2
2S-4eXbehr4_10140000,11,,,,26,0.8666666666666667,0
2S-4eXbehr4_10170000,16,,,,28,0.9333333333333333,0
2S-4eXbehr4_10200000,16,,,,28,0.9333333333333333,0
2S-4eXbehr4_10230000,9,oxer,2.256142581095768,0.023240371845949535,24,0.8,14
2S-4eXbehr4_10260000,16,,,,4,0.13333333333333333,0
2S-4eXbehr4_10290000,13,,,,27,0.9,2
2S-4eXbehr4_10320000,11,,,,18,0.6,0
2S-4eXbehr4_10410000,12,oxer,0.5445444414924875,0.01627906976744186,18,0.6,4
2S-4eXbehr4_10440000,15,,,,28,0.9333333333333333,0
2S-4eXbehr4_10500000,10,vertical,2.778174064670772,0.04794520547945205,8,0.26666666666666666,0
2S-4eXbehr4_10530000,9,,,,0,0.0,0
2S-4eXbehr4_10560000,11,,,,20,0.6666666666666666,0
2S-4eXbehr4_10590000,16,oxer,3.663050555953944,0.033718689788053945,13,0.43333333333333335,2
2S-4eXbehr4_10650000,13,vertical,2.3283418534792375,0.023178807947019868,15,0.5,2
2S-4eXbehr4_10680000,16,,,,21,0.7,2
2S-4eXbehr4_10710000,14,,,,22,0.7333333333333333,0
2S-4eXbehr4_10740000,10,vertical,2.246404560269675,0.02422145328719723,19,0.6333333333333333,2
2S-4eXbehr4_10770000,14,oxer,1.4769848655886808,0.020564042303172738,24,0.8,0
2S-4eXbehr4_1080000,15,,,,2,0.06666666666666667,0
2S-4eXbehr4_10800000,10,,,,21,0.7,2
2S-4eXbehr4_10830000,15,,,,28,0.9333333333333333,0
2S-4eXbehr4_10860000,14,oxer,0.9597148706595996,0.01808785529715762,16,0.5333333333333333,0
2S-4eXbehr4_10890000,13,vertical,3.981189523287118,0.043050430504305036,22,0.7333333333333333,0
2S-4eXbehr4_10920000,10,,,,24,0.8,0
2S-4eXbehr4_11220000,15,,,,11,0.36666666666666664,2
2S-4eXbehr4_11340000,8,oxer,3.374267667133807,0.0341796875,16,0.5333333333333333,0
2S-4eXbehr4_1140000,8,,,,12,0.4,0
